id	word	definition_cn	phonetic_uk	phonetic_us	ecdict_translation	ecdict_phonetic	ecdict_definition
CET6_CORE_3	absolutely	adv. 当然	/ˈæbsəlu:tli/	/'æbsəlutli/	adv. 完全地, 绝对地, 确确实实地	'æbsәlu:tli	r. completely and without qualification; used informally as intensifiers / r. totally and definitely; without question
CET6_CORE_927	access	v. 取得，获取	/ˈækses/	/'æksɛs/	n. 通路, 入口, 接近, 进入, 使用权, 发作 / vt. 访问, 存取, 接近, 使用 / [计] 访问, 存取	'ækses	n. the right to obtain or make use of or take advantage of something (as services or membership) / n. a way of entering or leaving / n. a code (a series of characters or digits) that must be entered in some way (typed or dialed or spoken) to get the use of something (a telephone line or a computer or a local area network etc.) / n. (computer science) the operation of reading or writing stored information
CET6_CORE_1722	accord	n. 符合；协议	/ə'kɔːd/	/ə'kɔrd/	n. 一致, 调和, 协定 / vt. 给与, 使一致 / vi. 相符合	ә'kɒ:d	n. concurrence of opinion / n. sympathetic compatibility / v. allow to have
CET6_CORE_1105	accountable	adj. 应负责的，有责任的	/ə'kauntəbl/	/ə'kaʊntəbl/	a. 负有责任的, 可说明的, 可解释的 / [经] 负有责任的	ә'kauntәbl	s. liable to account for one's actions
CET6_CORE_8	accountant	n. 会计	/əˈkaʊntənt/	/ə'kaʊntənt/	n. 会计人员, 会计师 / [经] 会计师, 会计人员	ә'kauntәnt	n. someone who maintains and audits business accounts
CET6_CORE_9	accrue	v. 积累	/ə'kru:/	/ə'kru/	vi. 自然增加, 产生 / [经] 应计, 产生, 出现	ә'kru:	v. grow by addition / v. come into the possession of
CET6_CORE_934	accumulate	v. 积累	/əˈkju:mjəleɪt/	/ə'kjumjəlet/	v. 积聚, 堆积	ә'kju:mjuleit	v. collect or gather
CET6_CORE_11	accuse	v. 指控	/ə'kju:z/	/ə'kjuz/	vt. 指责, 控告, 归咎于 / vi. 指责, 控告	ә'kju:z	v. bring an accusation against; level a charge against
CET6_CORE_12	accustom	v. 使习惯	/ə'kʌstəm/	/ə'kʌstəm/	vt. 使习惯于	ә'kʌstәm	v make psychologically or physically used (to something)
CET6_CORE_14	acquaintance	n. 熟人	/ə'kweɪntəns/	/ə'kwentəns/	n. 认识, 相识者	ә'kweintәns	n. personal knowledge or information about someone or something / n. a relationship less intimate than friendship / n. a person with whom you are acquainted
CET6_CORE_15	activate	v. 激活	/'æktɪveɪt/	/'æktə'vet/	vt. 使活动, 使激活, 正式建成 / vi. 有活力	'æktiveit	v. make active or more active / v. make more adsorptive / v. aerate (sewage) so as to favor the growth of organisms that decompose organic matter / v. make (substances) radioactive
