id	word	definition_cn	phonetic_uk	phonetic_us	ecdict_translation	ecdict_phonetic	ecdict_definition
GRE_6190	abase	v. 降低	/ə'beɪs/	/ə'bes/	vt. 降低...的地位, 降低...的品格, 贬抑, 使谦卑	ә'beis	v cause to feel shame; hurt the pride of
GRE_4696	aberration	n. 失常	/,æbə'reɪʃ(ə)n/	/'æbə'reʃən/	n. 离开正路, 偏离, 畸变, 光行差, 心理失常, 色差 / [化] 光行差; 像差	æbә'reiʃәn	n. a disorder in one's mental state / n. an optical phenomenon resulting from the failure of a lens or mirror to produce a good image
GRE_6352	ablate	v. 融化	/æb'leɪt/	/æb'let/	v. 切除, 腐蚀, 溶化掉, 烧蚀	æb'leit	v. wear away through erosion or vaporization / v. remove an organ or bodily structure
GRE_4521	ablution	n. 清洗	/ə'bluːʃ(ə)n/	/əb'lʊʃən/	n. 洗澡, 洗礼, 斋戒沐浴 / [化] 洗净; 洗净液	ә'blu:ʃәn	n. the ritual washing of a priest's hands or of sacred vessels
GRE_7555	abrasive	adj. 研磨的	/ə'breɪsɪv/	/ə'bresɪv/	n. 研磨料 / a. 有研磨作用的	ә'breisiv	n. a substance that abrades or wears down / s. causing abrasion
GRE_6207	abstain	v. 禁绝, 放弃	/əb'steɪn/	/əb'sten/	vi. 自制, 戒绝, 弃权, 回避	әb'stein	v. refrain from voting / v. choose not to consume
GRE_2305	acclivity	n. [地]向上的斜坡	/ə'klɪvɪtɪ/	/ə'klɪvəti/	n. 上坡	ә'kliviti	n an upward slope or grade (as in a road)
GRE_997	accommodating	adj. 乐于助人的, 随和的, 善于适应新环境的	/ə'kɒmədeɪtɪŋ/	/ə'kɑmədetɪŋ/	a. 与人方便的, 肯通融的	ә'kɒmәdeitiŋ	a. helpful in bringing about a harmonious adaptation / s. obliging; willing to do favors
GRE_7684	accomplished	adj. 完成了的； 有技巧的	/ə'kɑːmplɪʃt/	/ə'kɑmplɪʃt/	a. 完成的, 实现的, 有造诣的, 熟练的, 善社交的	ә'kʌmpliʃt	s. highly skilled / s. successfully completed or brought to an end / s. settled securely and unconditionally
GRE_9357	accost	v. 搭话	/ə'kɔːst/	/ə'kɔst/	vt. 招呼, 搭讪, 勾引 / [法] 勾引, 引诱	ә'kɒst	v speak to someone / v approach with an offer of sexual favors
