id	word	definition_cn	phonetic_uk	phonetic_us	ecdict_translation	ecdict_phonetic	ecdict_definition
JUNIOR_CORE_2754	a bit	n. 稍微；有点儿	/a bit/	/a bit/	一点儿；有一点儿		
JUNIOR_CORE_2469	a couple of	n. 一对，两个；几个	/a couple of/	/a couple of/	一对..., 三两个...		
JUNIOR_CORE_2143	a little	n. 一点，少量	/a little/	/a little/	一些, 一点点, 一点儿, 稍微, 些许		
JUNIOR_CORE_2745	a lot of	n. 大量；许多	/a lot of/	/a lot of/	许多的		
JUNIOR_CORE_2044	a pair of	n. 一双	/a pair of/	/a pair of/	一对..., 一付...		
JUNIOR_CORE_2492	according	adv. 依照，按照	/ə'kɔːdɪŋ/	/ə'kɔrdɪŋ/	a. 相符的, 根据...而定的 / adv. 相应地	ә'kɒ:diŋ	s. (followed by `to') in agreement with or accordant with / s. (followed by `to') as reported or stated by
JUNIOR_CORE_11	achieve	v. 取得；获得；实现；成功	/ə'tʃiːv/	/ə'tʃiv/	vt. 完成, 达到 / vi. 如愿以偿	ә'tʃi:v	v. to gain with effort
JUNIOR_CORE_2131	across from	n. 在……对面	/across from/	/across from/	在...对面		
JUNIOR_CORE_2145	actor	n. 演员	/'æktə/	/'æktɚ/	n. 男演员, 行动者 / [医] 作用物, 反应物	'æktә	n. a theatrical performer / n. a person who acts and gets things done
JUNIOR_CORE_2458	actually	adv. 实际上,说实在的	/ˈæktʃuəli/	/'æktʃuəli/	adv. 事实上, 竟然, 如今, 现在	'æktʃuәli	r. in actual fact / r. used to imply that one would expect the fact to be the opposite of that stated; surprisingly / r. at the present moment / r. as a sentence modifier to add slight emphasis
JUNIOR_CORE_1849	adj.	abbr. 调整（adjacent）	/səb'dʒek/	/səb'dʒek/	abbr. (=adjacent； adjective； adjunct； adjustment) / [网络] 形容词；太多的；值…的		
JUNIOR_CORE_2511	admire	v. 欣赏；仰慕	/əd'maɪə/	/ədˈmaɪr/	vt. 赞美, 钦佩, 爱慕 / vi. 称赞, 惊奇	әd'maiә	v. feel admiration for / v. look at with admiration
JUNIOR_CORE_2272	agree with	n. 同意	/agree with/	/agree with/	同意…,与…意见一致;适应…		
JUNIOR_CORE_2394	alarm	n. 闹钟	/ə'lɑːm/	/ə'lɑrm/	n. 惊恐, 警报, 警钟 / vt. 使惊恐, 警告 / [计] 报警信号	ә'lɑ:m	n. fear resulting from the awareness of danger / n. a device that signals the occurrence of some undesirable event / n. an automatic signal (usually a sound) warning of danger / v. warn or arouse to a sense of danger or call to a state of preparedness
JUNIOR_CORE_2505	Alexander Graham Bell	n. 亚历山大 • 格雷厄姆 • 贝尔	/Alexander Graham Bell/	/Alexander Graham Bell/	n. 亚历山大·格雷厄姆·贝尔（电话发明者）		
JUNIOR_CORE_2548	Alfred	n. 艾尔弗雷德（男名）	/'ælfrid; -fred/	/'ælfrɪd/	n. 阿尔佛雷德（男子名）	'ælfrid	n. king of Wessex; defeated the Vikings and encouraged writing in English (849-899)
JUNIOR_CORE_2838	all alone	n. 独自一人的	/all alone/	/all alone/	独立地		
JUNIOR_CORE_2175	all in all	n. 总的说来	/all in all/	/all in all/	总而言之, 合计, 头等重要的东西		
JUNIOR_CORE_2233	all kinds of	n. 各种各样；各种类型	/all kinds of/	/all kinds of/	各种各样的		
JUNIOR_CORE_2371	all the time	n. 频繁，反复	/all the time/	/all the time/	始终		
JUNIOR_CORE_1448	alright	adv. 好， 好吧	/ɔːl'raɪt/	/ɔːl'raɪt/	a. 没问题的	ɔ:l'rait	s. nonstandard usage
