id	word	definition_cn	phonetic_uk	phonetic_us	ecdict_translation	ecdict_phonetic	ecdict_definition
JUNIOR_CORE_2106	(be) made of	n. 由……制成的	/(be) made of/	/(be) made of/			
JUNIOR_CORE_2090	(be) on time	n. 准时	/(be) on time/	/(be) on time/			
JUNIOR_CORE_2904	a chess set	n. 一副国际象棋	/a chess set/	/a chess set/			
JUNIOR_CORE_2866	agree with sb.	n. 同意某人	/agree with sb./	/agree with sb./			
JUNIOR_CORE_2473	all year around	n. 全年	/all year around/	/all year around/			
JUNIOR_CORE_2017	ask... for...	n. 请求；恳求(给予)	/ask... for.../	/ask... for.../			
JUNIOR_CORE_3020	be angry with sb.	n. 生某人的气	/be angry with sb./	/be angry with sb./			
JUNIOR_CORE_2059	be good at…	n. 擅长于……	/be good at…/	/be good at…/			
JUNIOR_CORE_2065	be good with…	n. 善于应付……的；对……有办法	/be good with…/	/be good with…/			
JUNIOR_CORE_2103	be in (great) danger	n. 处于（极大）危险之中	/be in (great) danger/	/be in (great) danger/			
JUNIOR_CORE_2348	be in control of	n. 掌管，管理	/be in control of/	/be in control of/			
JUNIOR_CORE_2921	be proud of …	n. 为……而感到到骄傲	/be proud of …/	/be proud of …/			
JUNIOR_CORE_2097	be strict (with sb)	n. （对某人）要求严格	/be strict (with sb)/	/be strict (with sb)/			
JUNIOR_CORE_2087	between… and…	n. 在……和……之间	/between… and…/	/between… and…/			
JUNIOR_CORE_2821	bike (=bicycle)	n. 自行车	/bike (=bicycle)/	/bike (=bicycle)/			
JUNIOR_CORE_2163	bring good luck to…	n. 给……带来好运	/bring good luck to…/	/bring good luck to…/			
JUNIOR_CORE_3069	brush sth. off sth.	n. 把某物从某物上刷掉	/brush sth. off sth./	/brush sth. off sth./			
JUNIOR_CORE_2122	call(sb)back	n. 回电话	/call(sb)back/	/call(sb)back/			
JUNIOR_CORE_2042	Can I help you?	n. 我能帮您吗？	/Can I help you?/	/Can I help you?/			
JUNIOR_CORE_2782	can't = cannot	n. 不能	/can't = cannot/	/can't = cannot/			
