id	word	definition_cn	phonetic_uk	phonetic_us	ecdict_translation	ecdict_phonetic	ecdict_definition
KAOYAN_CORE_4815	a.	n. 天主教徒	/也作catholic/	/也作catholic/	[医] 调节, 适应, 安培, 阳极, 正极, 前, 水, 水剂, 动脉		
KAOYAN_CORE_617	abdomen	n. 腹，下腹(胸部到腿部的部分)	/'æbdəmən; æb'dəʊmən/	/'æbdəmən/	n. 腹部 / [医] 腹[部]	'æbdәmen	n. the region of the body of a vertebrate between the thorax and the pelvis
KAOYAN_CORE_706	accommodate	v. 向…提供住处；对...予以照顾性考虑	/ə'kɒmədeɪt/	/ə'kɑmədet/	vt. 使适应, 调和, 通融, 容纳, 向...提供 / vi. 适应	ә'kɒmәdeit	v. provide with something desired or needed / v. have room for; hold without crowding / v. make (one thing) compatible with (another)
KAOYAN_CORE_1455	achieve	v. 取得；获得；实现；成功	/ə'tʃiːv/	/ə'tʃiv/	vt. 完成, 达到 / vi. 如愿以偿	ә'tʃi:v	v. to gain with effort
KAOYAN_CORE_2456	acquaintance	n. 熟人；相识；了解；知道	/ə'kweɪnt(ə)ns/	/ə'kwentəns/	n. 认识, 相识者	ә'kweintәns	n. personal knowledge or information about someone or something / n. a relationship less intimate than friendship / n. a person with whom you are acquainted
KAOYAN_CORE_3	activate	v. 启动，激活；驱动，驱使；使开始起作用	/'æktɪveɪt/	/'æktə'vet/	vt. 使活动, 使激活, 正式建成 / vi. 有活力	'æktiveit	v. make active or more active / v. make more adsorptive / v. aerate (sewage) so as to favor the growth of organisms that decompose organic matter / v. make (substances) radioactive
KAOYAN_CORE_5004	affiliate	v. 隶属于； n. 附属机构， 分公司	/ə'fɪlɪeɪt/	/ə'fɪlɪet/	vt. 使紧密联系, 使附属, 接纳, 收养 / vi. 发生联系, 参加	ә'filieit	n. a subordinate or subsidiary associate; a person who is affiliated with another or with an organization / n. a subsidiary or subordinate organization that is affiliated with another organization / v. join in an affiliation
KAOYAN_CORE_14	agency	n. 代理(处)；代办处；[美](政府的)机关，厅	/'eɪdʒ(ə)nsɪ/	/'edʒənsi/	n. 代理机构, 经销商, 中介 / [化] 办事处	'eidʒәnsi	n. an administrative unit of government / n. a business that serves other businesses / n. the state of being in action or exerting power
KAOYAN_CORE_15	agenda	n. 议事日程，记事册	/ə'dʒendə/	/ə'dʒɛndə/	pl. 议程, 日常工作事项 / [计] 待议事件	ә'dʒendә	n. a temporally organized plan for matters to be attended to / n. a list of matters to be taken up (as at a meeting)
KAOYAN_CORE_17	agony	n. (精神或肉体的)极大痛苦，创伤	/'ægənɪ/	/'æɡəni/	n. 极大的痛苦, 挣扎 / [医] 濒死苦闷; 剧痛	'ægәni	n. intense feelings of suffering; acute mental or physical pain / n. a state of acute pain
