id	word	definition_cn	phonetic_uk	phonetic_us	ecdict_translation	ecdict_phonetic	ecdict_definition
SAT_2854	abase	v. 使…谦卑；降低…的品格；降低…的地位	/ə'beɪs/	/ə'bes/	vt. 降低...的地位, 降低...的品格, 贬抑, 使谦卑	ә'beis	v cause to feel shame; hurt the pride of
SAT_2366	accelerate	v. 使……加快；使……增速	/ək'seləreɪt/	/əkˈsɛləˌret/	v. 加速, 促进	әk'selәreit	v. move faster / v. cause to move faster
SAT_640	acclivity	n. 向上的斜坡；[建] 上斜	/ə'klɪvɪtɪ/	/ə'klɪvəti/	n. 上坡	ә'kliviti	n an upward slope or grade (as in a road)
SAT_3466	accustomed	adj. 习惯的；通常的；独有的； v. 使习惯于（accustom的过去分词）	/ə'kʌstəmd/	/ə'kʌstəmd/	a. 惯常的, 习惯了的	ә'kʌstәmd	a. (often followed by `to') in the habit of or adapted to / s. commonly used or practiced; usual
SAT_4032	acerbity	n. 酸，涩；刻薄	/ə'sɜːbətɪ/	/ə'sɝbəti/	n. 涩, 酸, 尖刻 / [化] 涩度	ә'sә:biti	n. a sharp bitterness / n. a sharp sour taste
SAT_2082	acquaintance	n. 熟人；相识；了解；知道	/ə'kweɪnt(ə)ns/	/ə'kwentəns/	n. 认识, 相识者	ә'kweintәns	n. personal knowledge or information about someone or something / n. a relationship less intimate than friendship / n. a person with whom you are acquainted
SAT_2590	advent	n. 到来；出现；基督降临；基督降临节	/advent/	/advent/	n. 来到, 来临	'ædvәnt	n. arrival that has been awaited (especially of something momentous) / n. the season including the four Sundays preceding Christmas
SAT_2769	agape	adj. 张开著；张口惊视的； adv. 目瞪口呆； n. (Agape)人名；(罗)阿加佩	/ə'geɪp/	/ə'ɡep/	a. 张口发呆的, 目瞪口呆的 / adv. 张口发呆地, 目瞪口呆地	ә'geip	n. (Christian theology) the love of God or Christ for mankind / n. selfless love of one person for another without sexual implications (especially love that is spiritual in nature) / n. a religious meal shared as a sign of love and fellowship
SAT_2682	aggressive	adj. 侵略性的；好斗的；有进取心的；有闯劲的	/ə'gresɪv/	/ə'ɡrɛsɪv/	a. 侵略的, 挑畔的, 进取的 / [法] 侵略的, 爱挑衅的, 行为过火的	ә'gresiv	a. having or showing determination and energetic pursuit of your ends; positive in his convictions" / s. tending to spread quickly / s. characteristic of an enemy or one eager to fight
SAT_501	agitate	v. 摇动；骚动；使…激动	/'ædʒɪteɪt/	/ˈædʒɪˌteɪt/	vt. 使摇动, 搅动, 使激动, 使不安 / vi. 鼓动, 煽动	'ædʒiteit	v. try to stir up public opinion / v. cause to be agitated, excited, or roused / v. change the arrangement or position of
