id	word	definition_cn	phonetic_uk	phonetic_us	ecdict_translation	ecdict_phonetic	ecdict_definition
SENIOR_CORE_1	a	n. 字母A；第一流的；学业成绩达最高标准的评价符号； abbr. [物]安（ampere）	/ə; eɪ/	/ə; e/	第一个字母 A; 一个; 第一的 / art. [计] 累加器, 加法器, 地址, 振幅, 模拟, 区域, 面积, 汇编, 组件, 异步	ei	n. the 1st letter of the Roman alphabet / n. the blood group whose red cells carry the A antigen
SENIOR_CORE_4826	a great many	n. 许多；很多	/a great many/	/a great many/	许许多多		
SENIOR_CORE_4463	a number of	n. 若干；许多	/a number of/	/a number of/	许多的		
SENIOR_CORE_3758	a series of	n. 一连串的；一系列；一套	/a series of/	/a series of/	一系列..., 一批...		
SENIOR_CORE_4770	Abigail	n. 阿比盖尔（女名）	/'æbɪgeɪl/	/'æbɪ,gel/	n. 贴身使女	'æbigeil	n. A lady's waiting-maid.
SENIOR_CORE_5300	abseil	n. （登山运动员）绕绳下降，悬绳滑锁	/'æbseɪl; -zaɪl/	/'æzaɪl/	n. (登山运动中的)沿绳滑下法	'ɑ:bzail	n (mountaineering) a descent of a vertical cliff or wall made by using a doubled rope that is fixed to a higher point and wrapped around the body / v lower oneself with a rope coiled around the body from a mountainside
SENIOR_CORE_23	accelerate	v. 使……加快；使……增速	/ək'seləreɪt/	/əkˈsɛləˌret/	v. 加速, 促进	әk'selәreit	v. move faster / v. cause to move faster
SENIOR_CORE_38	accustomed	adj. 习惯的；通常的；独有的； v. 使习惯于（accustom的过去分词）	/ə'kʌstəmd/	/ə'kʌstəmd/	a. 惯常的, 习惯了的	ә'kʌstәmd	a. (often followed by `to') in the habit of or adapted to / s. commonly used or practiced; usual
SENIOR_CORE_4544	accustomed to	n. 习惯于……	/accustomed to/	/accustomed to/	习惯于···	əˈkʌstəmd tu:	
SENIOR_CORE_40	achieve	v. 取得；获得；实现；成功	/ə'tʃiːv/	/ə'tʃiv/	vt. 完成, 达到 / vi. 如愿以偿	ә'tʃi:v	v. to gain with effort
SENIOR_CORE_44	acquaintance	n. 熟人；相识；了解；知道	/ə'kweɪnt(ə)ns/	/ə'kwentəns/	n. 认识, 相识者	ә'kweintәns	n. personal knowledge or information about someone or something / n. a relationship less intimate than friendship / n. a person with whom you are acquainted
SENIOR_CORE_6054	acupressure	n. 指压按摩（疗法）	/'ækjuprɛʃɚ/	/'ækjuprɛʃɚ/	[医] 针压法	'ækjj,preʃә(r)	n. treatment of symptoms by applying pressure with the fingers to specific pressure points on the body
SENIOR_CORE_6060	acupuncture	n. 针灸	/'ækjʊ,pʌŋ(k)tʃə/	/'ækjupʌŋktʃɚ/	n. 针刺, 针刺疗法 / vt. 施以针灸	'ækju.pʌŋktʃә	n. treatment of pain or disease by inserting the tips of needles at specific points on the skin
SENIOR_CORE_4654	adapt to	n. 使适合	/adapt to/	/adapt to/	适应…;适合…		
SENIOR_CORE_61	addicted	adj. 沉溺于某种（尤其是不良的）嗜好的；入了迷的，上了瘾的； v. 使…上瘾（addict的过去分词）	/ə'dɪktɪd/	/ə'dɪktɪd/	a. 沉溺于...的, 无法摆脱(某种嗜好)的 / [法] 嗜, 好, 惯于	ә'diktid	a. compulsively or physiologically dependent on something habit-forming
SENIOR_CORE_4541	addicted to	n. 对……有瘾	/addicted to/	/addicted to/	对···有瘾	əˈdiktid tu:	
SENIOR_CORE_5031	Adelaide	n. 阿德莱德（澳大利亚东南部港市，南澳大利亚前首府）	/'ædəleid/	/'ædəleid/	n. 阿德莱德（女子名, 澳大利亚港市）	'ædәleid	n. the state capital of South Australia
SENIOR_CORE_4760	adjust to	n. 适应；调节	/adjust to/	/adjust to/	[计] 调整至		
SENIOR_CORE_103	aggressive	adj. 侵略性的；好斗的；有进取心的；有闯劲的	/ə'gresɪv/	/ə'ɡrɛsɪv/	a. 侵略的, 挑畔的, 进取的 / [法] 侵略的, 爱挑衅的, 行为过火的	ә'gresiv	a. having or showing determination and energetic pursuit of your ends; positive in his convictions" / s. tending to spread quickly / s. characteristic of an enemy or one eager to fight
SENIOR_CORE_5373	agony	n. 极度的痛苦	/'ægənɪ/	/'æɡəni/	n. 极大的痛苦, 挣扎 / [医] 濒死苦闷; 剧痛	'ægәni	n. intense feelings of suffering; acute mental or physical pain / n. a state of acute pain
SENIOR_CORE_4435	ahead of	n. 在……前面	/ahead of/	/ahead of/	在…之前		
SENIOR_CORE_111	AIDS	abbr. 获得性免疫缺乏综合征；爱滋病（Acquired Immune Deficiency Syndrome）	/edz/	/edz/	n. 爱滋病(获得性免疫缺陷综合征) / [计] 高级综合数据系统, 先进交互调试系统, 自动图解文档编制系统 / 美国决策学学会, 信息自动显示系统, 自动综合调试系统	eidz	n. a serious (often fatal) disease of the immune system transmitted through blood products especially by sexual contact or contaminated needles
