id	word	definition_cn	phonetic_uk	phonetic_us	ecdict_translation	ecdict_phonetic	ecdict_definition
SENIOR_CORE_4845	(be) bound to (do)	n. 一定或注定（做）……	/(be) bound to (do)/	/(be) bound to (do)/			
SENIOR_CORE_4733	(be) dying to	n. 极想；渴望	/(be) dying to/	/(be) dying to/			
SENIOR_CORE_5391	(be) faced with	n. 面临	/(be) faced with/	/(be) faced with/			
SENIOR_CORE_4727	(be) scared to death	n. 吓死了	/(be) scared to death/	/(be) scared to death/			
SENIOR_CORE_3847	a (great) number of	n. 许多；大量的	/a (great) number of/	/a (great) number of/			
SENIOR_CORE_5370	a wolf in sheep’s clothing	n. 披着羊皮的狼，伪装好友的敌人	/a wolf in sheep’s clothing/	/a wolf in sheep’s clothing/			
SENIOR_CORE_4425	accuse…of	n. 因……指责或控告……	/accuse…of/	/accuse…of/			
SENIOR_CORE_5258	against one’s will	n. 违心地	/against one’s will/	/against one’s will/			
SENIOR_CORE_5224	Agnes Grey	n. 艾格妮斯.格雷（人名，书名）	/Agnes Grey/	/Agnes Grey/			
SENIOR_CORE_5404	agro-scientifc	adj. 农业科学的	/agro-scientifc/	/agro-scientifc/			
SENIOR_CORE_4295	Ahmed Aziz	n. 艾哈迈德•阿齐兹	/Ahmed Aziz/	/Ahmed Aziz/			
SENIOR_CORE_4964	ajustment	n. 调节，调整	/ajustment/	/ajustment/			
SENIOR_CORE_4294	Akira Nagata	n. 永田明	/Akira Nagata/	/Akira Nagata/			
SENIOR_CORE_4875	Alexander Graham	n. 亚历山大•格雷厄姆•贝尔	/Alexander Graham/	/Alexander Graham/			
SENIOR_CORE_4818	Andrew Hallidie	n. 安德鲁•海利迪	/Andrew Hallidie/	/Andrew Hallidie/			
SENIOR_CORE_3915	Anna Petrov	n. 安娜•帕特罗夫（女名）	/Anna Petrov/	/Anna Petrov/			
SENIOR_CORE_6041	antispit	v. 反吐痰	/antispit/	/antispit/			
SENIOR_CORE_4764	as far as one is concerned	n. 就……而言	/as far as one is concerned/	/as far as one is concerned/			
SENIOR_CORE_4959	Ashrita Furman	n. 阿什里塔.弗曼	/Ashrita Furman/	/Ashrita Furman/			
SENIOR_CORE_4012	attach…to	n. 认为有（重要性、意义）；附上；连接	/attach…to/	/attach…to/			
SENIOR_CORE_4766	bachelor’s degree	n. 学士学位	/bachelor’s degree/	/bachelor’s degree/			
SENIOR_CORE_5308	Bahmad	n. 巴姆德（姓）	/Bahmad/	/Bahmad/			
SENIOR_CORE_4669	Barry Minto	n. 巴里•明托	/Barry Minto/	/Barry Minto/			
SENIOR_CORE_4396	be back on one’s feet	n. (困境后)恢复；完全复原	/be back on one’s feet/	/be back on one’s feet/			
SENIOR_CORE_5983	be unsure of	n. 不确定，不肯定	/be unsure of/	/be unsure of/			
SENIOR_CORE_5248	Betsy Trotwood	n. 贝特西.特洛特伍德	/Betsy Trotwood/	/Betsy Trotwood/			
SENIOR_CORE_5799	bid goodbye	n. 告别	/bid goodbye/	/bid goodbye/			
SENIOR_CORE_5820	bring sth. on sb.	n. 给某人招来（不愉快的）事情	/bring sth. on sb./	/bring sth. on sb./			
SENIOR_CORE_4383	Buckingham  Palace	n. 白金汉宫	/Buckingham  Palace/	/Buckingham  Palace/			
SENIOR_CORE_4797	by means of…	n. 用……办法；借助……	/by means of…/	/by means of…/			
SENIOR_CORE_4493	café	n. 咖啡馆；小餐馆	/'kæfeɪ/	/kə'fɛi/			
SENIOR_CORE_5782	call for an end to sth.	n. 要求结束……	/call for an end to sth./	/call for an end to sth./			
