id	word	definition_cn	phonetic_uk	phonetic_us	ecdict_translation	ecdict_phonetic	ecdict_definition
TOEFL_9980	abbey	n. 修道院； 大教堂	/'æbi/	/'æbi/	n. 大修道院	'æbi	n. a church associated with a monastery or convent / n. a convent ruled by an abbess / n. a monastery ruled by an abbot
TOEFL_9689	abhor	v. 憎恨， 厌恶	/əb'hɔːr/	/əb'hɔr/	vt. 憎恶, 痛恨, 回避, 拒绝	әb'hɒ:	v. find repugnant
TOEFL_2632	abigail	n. (贵妇人的贴身)使女	/abigail/	/abigail/	n. 贴身使女	'æbigeil	n. A lady's waiting-maid.
TOEFL_23	able	adj. 能够…的,得以…的	/'eɪb(ə)l/	/'ebl/	a. 能干的, 能够的	'eibl	a. (usually followed by `to') having the necessary means or skill or know-how or authority to do something / s. have the skills and qualifications to do things well / s. having inherent physical or mental ability or capacity / s. having a strong healthy body
TOEFL_3794	aboard	prep&ad. 在(船、飞机、车)上，上船	/ə'bɔːd/	/ə'bɔrd/	adv. 在船上, 在火车上, 在飞机上 / prep. 在...之上	ә'bɒ:d	r. on a ship, train, plane or other vehicle / r. on first or second or third base / r. side by side / r. part of a group
TOEFL_2496	abroad	adv. 到国外,在国外	/ə'brɔːd/	/ə'brɔd/	adv. 往国外, 到室外, 到处 / a. 往国外的, 在室外的, 广泛四散的	ә'brɒ:d	s. in a foreign country / r. to or in a foreign country
TOEFL_4357	accidentally	adj. 意外的,偶然(发生)的	/æksɪ'dent(ə)lɪ/	/,æksə'dɛntli/	adv. 偶然地, 意外地	.æksi'dentli	r without advance planning / r of a minor or subordinate nature / r without intention; in an unintentional manner
TOEFL_9983	accredit	v. 委任， 授权； 把…归于； 正式认可	/ə'kredɪt/	/ə'krɛdɪt/	vt. 信托, 确认, 归结于, 委派 / [经] 发行信用证, 信托, 委托	ә'kredit	v. grant credentials to / v. provide or send (envoys or embassadors) with official credentials / v. ascribe an achievement to
TOEFL_5070	accrete	v. 共生, 附着, 增加	/ə'kriːt/	/ə'krit/	vi. 连生, 合生, 附依 / vt. 使依附, 使连接 / a. 合生的	æ'kri:t	v. grow together (of plants and organs) / v. grow or become attached by accretion
TOEFL_921	acorn	n. 橡树果,橡子	/'eɪkɔːn/	/'ekɔrn/	n. 橡树果实 / [机] 浆栎, 浆栎果	'eikɒ:n	n. fruit of the oak tree: a smooth thin-walled nut in a woody cup-shaped base
TOEFL_8529	acquaint	v. 使熟知, 通知	/ə'kweɪnt/	/ə'kwent/	vt. 使认识, 介绍	ә'kweint	v. inform
TOEFL_6472	acquaintance	n. 相识, 熟人	/ə'kweɪnt(ə)ns/	/ə'kwentəns/	n. 认识, 相识者	ә'kweintәns	n. personal knowledge or information about someone or something / n. a relationship less intimate than friendship / n. a person with whom you are acquainted
TOEFL_8472	acronym	n. 只取首字母的缩写词	/'ækrənɪm/	/'ækrənɪm/	n. 首字母缩拼词, 首字母组合词 / [计] 字首组合词	'ækrәunim	n. a word formed from the initial letters of the several words in the name
TOEFL_211	addition	n. 加,增加,附加物	/ə'dɪʃ(ə)n/	/ə'dɪʃən/	n. 加法, 增加的人(或物) / [计] 加法	ә'diʃәn	n. a component that is added to something to improve it / n. the act of adding one thing to another / n. a quantity that is added / n. a suburban area laid out in streets and lots for a future residential area
TOEFL_7771	adequately	adv. 充分地	/'ædikwitli/	/'ædikwitli/	adv. 足够地, 适当地	'ædikwәtli	r. in an adequate manner or to an adequate degree
TOEFL_3799	adhere	v. 粘附,遵守	/əd'hɪə/	/əd'hɪr/	vi. 依附, 粘着, 坚持, 追随, 拥护 / vt. 使粘附	әd'hiә	v. be compatible or in accordance with / v. follow through or carry out a plan without deviation / v. be a devoted follower or supporter / v. stick to firmly
TOEFL_10028	adhesive	adj. 带黏性的； n. 胶合剂	/əd'hiːsɪv/	/əd'hisɪv/	a. 粘着的, 涂有粘性物质的 / n. 粘合剂, 橡皮膏	әd'hi:siv	a. tending to adhere
TOEFL_6590	admirable	adj. 令人钦佩的,令人赞赏的	/'ædm(ə)rəb(ə)l/	/'ædmərəbl/	a. 可钦佩的, 极好的, 令人惊奇的	'ædmәrәbl	s. deserving of the highest esteem or admiration / s. inspiring admiration or approval
TOEFL_3117	adobe	n. 泥砖，土坯	/ə'dəʊbɪ; ə'dəʊb/	/'ədobɪ/	n. 风干土坯 / [化] 风干砖; 土砖; 灰质粘土; 多孔粘土	ә'doubi	n. the clay from which adobe bricks are made / n. sun-dried brick; used in hot dry climates
TOEFL_4916	adrift	a&ad. 漂流的,漫无目的	/ə'drɪft/	/ə'drɪft/	adv. 漂流地, 漂浮着, 随波逐流地 / a. 漂浮着的	ә'drift	s. aimlessly drifting / s. afloat on the surface of a body of water / r. floating freely; not anchored / r. off course, wandering aimlessly
TOEFL_312	adult	n. 成年人	/'ædʌlt; ə'dʌlt/	/'ædʌlt/	n. 成人, 成虫 / a. 成年的, 成熟的	'ædʌlt	n. a fully developed person from maturity onward / n. any mature animal / s. (of animals) fully developed
TOEFL_2682	advent	n. 出现，到来	/advent/	/advent/	n. 来到, 来临	'ædvәnt	n. arrival that has been awaited (especially of something momentous) / n. the season including the four Sundays preceding Christmas
TOEFL_7226	adventurous	adj. 冒险的；惊险的	/əd'ventʃ(ə)rəs/	/əd'vɛntʃərəs/	a. 喜欢冒险的, 有进取心的, 危险的	әd'ventʃәrәs	a. willing to undertake or seeking out new and daring enterprises
TOEFL_614	advertise	v. 登广告,宣传	/'ædvətaɪz/	/'ædvɚtaɪz/	vt. 做广告, 通知, 公布 / vi. 做广告	'ædvәtaiz	v. call attention to / v. make publicity for; try to sell (a product)
TOEFL_9501	aerobics	n. 有氧运动	/e'roubɪks/	/ɛ'robɪks/	n. 有氧运动法；增氧健身法	.eiә'rәubiks	n. exercise that increases the need for oxygen
TOEFL_4808	aesthetically	adv. 有审美能力地	/iːs'θetɪkəlɪ/	/ɛs'θɛtɪkli/	adv. 美学观点上地；审美地	i:s'θetikәli	r. in a tasteful way
TOEFL_6949	affectional	adj. 情感上的,  爱情的	/affectional/	/affectional/	a. 感情方面的	ә'fekʃәnәl	s. characterized by emotion
TOEFL_9025	affiliate	v. 使隶属于； n. 附属机构	/ə'fɪlɪeɪt/	/ə'fɪlɪet/	vt. 使紧密联系, 使附属, 接纳, 收养 / vi. 发生联系, 参加	ә'filieit	n. a subordinate or subsidiary associate; a person who is affiliated with another or with an organization / n. a subsidiary or subordinate organization that is affiliated with another organization / v. join in an affiliation
TOEFL_6506	affordable	adj. 负担得起的	/ə'fɔːdəbəl/	/ə'fɔrdəbl/	[计] 普及型		s that you have the financial means for
TOEFL_3866	afield	adv. 远离着(家乡), 去远处	/ə'fiːld/	/ə'fild/	adv. 离开着, 偏离着, 在战场上	ә'fi:ld	r. far away from home or one's usual surroundings / r. in or into a field (especially a field of battle) / r. off the subject; beyond the point at issue
TOEFL_6946	afloat	a&ad. 飘浮的, 传播的	/ə'fləʊt/	/ə'flot/	a. 飘浮着的, 在海上的, 浸满水的, 在进行中的 / adv. 飘浮着, 在海上, 浸满水, 在进行中	ә'flәut	a. borne on the water; floating / s. covered with water
TOEFL_582	again	adv. 再,又	/ə'gen; ə'geɪn/	/ə'ɡɛn/	adv. 再一次, 又, 到原处	ә'gein	r. anew
TOEFL_1591	agent	n. 代理(商)	/'eɪdʒ(ə)nt/	/'edʒənt/	n. 代理商, 政府代表, 动原, 媒介 / [计] 代理程序	'eidʒәnt	n. an active and efficient cause; capable of producing a certain effect / n. a representative who acts on behalf of other persons or organizations / n. a substance that exerts some force or effect / n. a businessman who buys or sells for another in exchange for a commission
TOEFL_5454	agriculturally	adv. 农业上	/agriculturally/	/agriculturally/	adv. 农业地		
TOEFL_8800	aie	n. 急性包涵(体)脑炎	/aie/	/aie/	abbr. 国际教育联盟（Alliance for International Education）；自适应图像增强器（Adaptive Image Enhancer）		
TOEFL_9505	ailment	n. 小病	/'eɪlmənt/	/'elmənt/	n. 病痛, 疾病 / [医] 疾病	'eilmәnt	n. an often persistent bodily disorder or disease; a cause for complaining
TOEFL_5004	aircraft	n. 航行器	/'eəkrɑːft/	/'ɛr'kræft/	n. 航空器, 飞机 / [机] 航空器	'єәkræft	n. a vehicle that can fly
TOEFL_1349	algae	n. 水藻	/ˈældʒiː/	/'ældʒi/	pl. 藻类, 海藻 / [化] 藻类	'ælgi:	n primitive chlorophyll-containing mainly aquatic eukaryotic organisms lacking true stems and roots and leaves
TOEFL_10157	algebra	n. 代数	/'ældʒɪbrə/	/'ældʒɪbrə/	n. 代数学	'ældʒibrә	n. the mathematics of generalized arithmetical operations
TOEFL_3715	alien	adj. 外国(人)的； n. 外国(星)人	/'eɪlɪən/	/ˈeliən,ˈeljən/	n. 外国人, 外侨 / a. 外国的, 相异的	'eiljәn	v. transfer property or ownership / s. not contained in or deriving from the essential nature of something / s. being or from or characteristic of another place or part of the world
TOEFL_6571	allay	v. 减轻, 减少	/ə'leɪ/	/ə'le/	vt. 使平静, 使缓和	ә'lei	v lessen the intensity of or calm / v satisfy (thirst)
TOEFL_2693	allende	n. 阿连德(在墨西哥, 西经 100o01' 北纬 25o20')	/allende/	/allende/	n. (Allende)人名；(西)阿连德		
TOEFL_9263	allergic	adj. 过敏的， 变态反应的； 对…讨厌的	/ə'lɜːrdʒɪk/	/ə'lɝdʒɪk/	a. 对...过敏的, 极反感的 / [医] 变应性的	ә'lә:dʒik	a. characterized by or caused by allergy / s. having an allergy or peculiar or excessive susceptibility (especially to a specific factor)
TOEFL_9587	allergy	n. 过敏性反应	/'ælərdʒi/	/'ælɚdʒi/	n. 变应性, 反感, 厌恶 / [化] 变态反应; 变应性	'ælәdʒi	n. hypersensitivity reaction to a particular allergen; symptoms can vary greatly in intensity
TOEFL_4795	alligator	n. 产于美洲的鳄鱼	/'ælɪgeɪtə/	/'ælɪɡetɚ/	n. 短吻鳄 / [机] 两栖装甲车	'æligeitә	n. leather made from alligator's hide / n. either of two amphibious reptiles related to crocodiles but with shorter broader snouts / v. crack and acquire the appearance of alligator hide, as from weathering or improper application; of paint and varnishes
TOEFL_7787	aloof	adj. 冷漠的	/ə'luːf/	/ə'luf/	a. 远离的, 冷淡的 / adv. 远离, 冷漠超然地	ә'lu:f	s. remote in manner / r. in an aloof manner
TOEFL_5781	alpha	n. 希腊字母的第一个字母	/'ælfə/	/'ælfə/	n. 希腊字母表的第一个字母, 最初, 开端 / [医] α(希腊文的第一个字母), 甲种	'ælfә	n. the 1st letter of the Greek alphabet / n. the beginning of a series or sequence / s. first in order of importance
TOEFL_7163	alphabetically	adv. 按字母表顺序地	/,ælfe'bɛtɪkli/	/,ælfə'bɛtɪkli/	adv. 按字母顺序地	.ælfә'betikәli	r. in alphabetical order
