id	word	definition_cn	ecdict_translation	ecdict_phonetic
CET6_CORE_3	absolutely	adv. 当然	adv. 完全地, 绝对地, 确确实实地	'æbsәlu:tli
CET6_CORE_927	access	v. 取得，获取	n. 通路, 入口, 接近, 进入, 使用权, 发作 / vt. 访问, 存取, 接近, 使用 / [计] 访问, 存取	'ækses
CET6_CORE_9	accrue	v. 积累	vi. 自然增加, 产生 / [经] 应计, 产生, 出现	ә'kru:
CET6_CORE_934	accumulate	v. 积累	v. 积聚, 堆积	ә'kju:mjuleit
CET6_CORE_11	accuse	v. 指控	vt. 指责, 控告, 归咎于 / vi. 指责, 控告	ә'kju:z
CET6_CORE_14	acquaintance	n. 熟人	n. 认识, 相识者	ә'kweintәns
CET6_CORE_16	acutely	adv. 敏锐地	adv. 尖锐地, 剧烈地	ә'kju:tli
CET6_CORE_18	address	v. 解决	n. 住址, 演说, 举止, 灵巧, 求爱 / vt. 发表(演说或讲话), 对付, 写地址 / [计] 地址, 寻址	ә'dres
CET6_CORE_20	adopt	v. 采纳	vt. 采用, 正式通过, 收养, 接受 / [医] 采取	ә'dɒpt
CET6_CORE_1705	advertise	v. 登广告	vt. 做广告, 通知, 公布 / vi. 做广告	'ædvәtaiz
CET6_CORE_2388	aerospace	n. 航空航天工业	n. 航天空间, 航天技术	'єәrәuspeis
CET6_CORE_863	affiliate	v. 使隶属于	vt. 使紧密联系, 使附属, 接纳, 收养 / vi. 发生联系, 参加	ә'filieit
CET6_CORE_1140	affiliation	n. 隶属关系，单位团体	n. 联系, 从属关系 / [医] 父权(判定私生儿的父亲)	ә.fili'eiʃәn
CET6_CORE_3318	afford	v. 担负得起； 提供	vt. 买得起, 足以, 给予	ә'fɒ:d
CET6_CORE_28	agonize	v. 使痛苦	vt. 使极度痛苦, 折磨 / vi. 感到痛苦	'ægәnaiz
CET6_CORE_3619	air-conditioning	n. 空调设备， 空调系统	[医] 空气调节	
CET6_CORE_1343	album	n. （收存照片或邮票的） 册子	n. 粘贴簿, 唱片套 / [医] 白色物	'ælbәm
CET6_CORE_30	alert	adj. 机警的； v. 提醒	a. 警觉的, 灵敏的, 留心的 / n. 警报 / vt. 使警觉, 通知, 使意识到	ә'lә:t
CET6_CORE_31	alien	adj. 陌生的	n. 外国人, 外侨 / a. 外国的, 相异的	'eiljәn
CET6_CORE_908	allegedly	adv. 据说	adv. 依其申述	ә'ledʒidli
CET6_CORE_859	alphabetical	adj. 按字母表顺序的	a. 依字母顺序的, 字母的	.ælfә'betikәl
CET6_CORE_33	alternative	n. 代替品	n. 两者择一, 供替代的选择 / a. 两者择一的, 供选择的 / [计] 选择对象	ɒ:l'tә:nәtiv
CET6_CORE_1398	ambitious	adj. 有雄心的；热望的	a. 有野心的, 抱负不凡的, 雄心勃勃的	æm'biʃәs
CET6_CORE_925	amend	v. 修订	vt. 修改, 改善, 改良 / vi. 改过自新	ә'mend
CET6_CORE_1247	ample	adj. 足够的；宽敞的	a. 大量的, 充足的, 丰富的	'æmpl
CET6_CORE_2808	announce	v. 报告…的来到	vt. 宣布, 声称, 显示, 预告 / vi. 当报幕员, 宣布参加竞选	ә'nauns
CET6_CORE_37	anonymous	adj. 匿名的	a. 姓氏不详的, 无名的, 无特色的 / [计] 无记录	ә'nɒnimәs
CET6_CORE_2195	appreciable	adj. 可察觉的	a. 可感知的, 可评估的	ә'pri:ʃiәbl
CET6_CORE_46	appreciative	adj. 表示赞赏的，感谢的	a. 有欣赏力的, 感激的	ә'pri:ʃiәtiv
CET6_CORE_47	approach	n. 方法	n. 接近, 入门 / vt. 接近, 近似, 找...商量 / vi. 靠近	ә'prәutʃ
CET6_CORE_3988	arbitrary	adj. 随心所欲的； 专断的	a. 任意的, 武断的, 专治的, 霸道的	'ɑ:bitrәri
CET6_CORE_52	arouse	v. 唤起	vt. 唤醒, 鼓励, 引起 / vi. 醒来	ә'rauz
CET6_CORE_53	arrogant	adj. 傲慢无礼的	a. 自大的, 傲慢的	'ærәɡәnt
CET6_CORE_2840	ascribe	v. 把…归于	vt. 归因于, 归咎于 / [法] 归咎于	ә'skraib
CET6_CORE_1044	aspirational	adj. 渴望的	志同的, 有抱负的	ˌæspəˈreɪʃənl
CET6_CORE_59	association	n. 联系	n. 协会 / [计] 关联	ә.sәuʃә'eiʃәn
CET6_CORE_974	assumption	n. 假设	n. 假定, 自负, 担任, 假装 / [经] 假定, 承担	ә'sʌmpʃәn
CET6_CORE_2246	astonishment	n. 惊奇，惊讶	n. 惊异, 惊愕, 使人惊异的事物	ә'stɒniʃmәnt
CET6_CORE_1165	astronomical	adj. 天文数字的	a. 天文学的, 庞大的	.æstrә'nɒmikl
CET6_CORE_62	attendant	n. 服务人员	n. 随从, 侍者, 出席者 / a. 侍候的, 伴随的, 出席的, 在场的	ә'tendәnt
CET6_CORE_986	attribute	v. 归因于	n. 属性, 标志, 定语 / vt. 把...归于, 认为...属于 / [计] 属性	ә'tribju:t
CET6_CORE_1317	audience	n. 正式会见；拜会	n. 听众, 观众, 读者 / [法] 听讼, 观众, 听众	'ɒ:diәns
CET6_CORE_1917	awake	v. 认识到	a. 醒着的 / vt. 唤醒, 唤起, 使意识到 / vi. 醒来, 被唤起, 意识到	ә'weik
CET6_CORE_70	awesome	adj. 极好的，令人敬畏的	a. 引起敬畏的, 可怕的	'ɒ:sәm
CET6_CORE_1650	awful	adj. 威严的；令人崇敬的	a. 可怕的, 庄严的, 虔敬的	'ɒ:ful
CET6_CORE_1463	baby	n. 一家中年龄最小的人	n. 婴孩 / [医] 婴儿	'beibi
CET6_CORE_71	backup	n. 后补，援助	n. 倒车, 后退, 后援, 支持, 阻塞 / vt. 做备份 / a. 候补的, 支持的 / [计] 备份; DOS外部命令:通常使用于将硬磁盘上指定的文件复制到软盘上	'bækʌp
CET6_CORE_1283	bamboo	n. 竹；竹杆，竹棍	n. 竹子 / [医] 竹类	bæm'bu:
CET6_CORE_1685	bandit	n. 土匪，盗匪，歹徒	n. 强盗	'bændit
CET6_CORE_1404	bead	n. 有孔小珠；水珠；露珠	n. 珠子, 滴 / vt. 用珠装饰 / vi. 形成珠 / [计] 珠	bi:d
CET6_CORE_2539	beam	v. 发光，发热；开怀大笑	n. 横梁, 杆, 光线, 容光焕发 / vi. 用梁支承, 微笑, 射出光线 / vt. 照耀, 感到欣喜 / [计] 束	bi:m
CET6_CORE_1825	bend	v. 使屈从，屈从	vi. 变弯曲, 屈服 / vt. 使弯曲, 使屈服 / n. 弯曲	bend
CET6_CORE_2835	bestow	v. 把…赠与	vt. 授予, 使用, 贮藏, 留宿	bi'stәu
CET6_CORE_2607	between	adv. 当中，中间	prep. 在...之间	bi'twi:n
