id	word	definition_cn	ecdict_translation	ecdict_phonetic
IELTS_2	abbreviation	n. 缩略语	n. 缩写词, 缩写, 缩短, 节略	ә.bri:vi'eiʃәn
IELTS_3892	absent	adj. 不在场的； 心不在焉的	a. 缺席的, 不在的, 缺乏的, 漫不经心的 / vt. 使缺席	'æbsәnt
IELTS_3451	accessible	adj. 能接近的； 易达到的	a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的	әk'sesәbl
IELTS_3706	acclimatise	v. 服水土； 适应新环境	v. <主英>=acclimatize	ә'klaimәtaiz
IELTS_2585	accommodation	n. 住宿	n. 膳宿, 预订铺位, 适应性调节, 调和, 贷款 / [医] 调节(眼); 适应	ә.kɒmә'deiʃәn
IELTS_891	accountable	adj. for； 对. 应付责任	a. 负有责任的, 可说明的, 可解释的 / [经] 负有责任的	ә'kauntәbl
IELTS_892	accountant	n. 会计员	n. 会计人员, 会计师 / [经] 会计师, 会计人员	ә'kauntәnt
IELTS_4690	accredit	v. 信任， 相信， 委任， 授权； 把…归于	vt. 信托, 确认, 归结于, 委派 / [经] 发行信用证, 信托, 委托	ә'kredit
IELTS_2589	addict	v. 使沉迷，使嗜好	vt. 使沉溺, 使上瘾 / n. 入迷的人, 上瘾者	ә'dikt
IELTS_5026	addiction	n. 瘾； 沉溺	n. 入迷, 瘾 / [医] 瘾, 癖嗜	ә'dikʃәn
IELTS_1707	advent	n. 降临，出现	n. 来到, 来临	'ædvәnt
IELTS_1714	affection	n. 友好；爱情	n. 影响, 病, 喜爱, 情感, 倾向 / [医] 疾患, 病变, 病; 感情	ә'fekʃәn
IELTS_1715	affiliate	v. 使加入，接受为分支机构	vt. 使紧密联系, 使附属, 接纳, 收养 / vi. 发生联系, 参加	ә'filieit
IELTS_2591	affirm	v. 断定，肯定	v. 断言, 确认	ә'fә:m
IELTS_2595	agency	n. 代理商(社)	n. 代理机构, 经销商, 中介 / [化] 办事处	'eidʒәnsi
IELTS_2596	agenda	n. 议事日程	pl. 议程, 日常工作事项 / [计] 待议事件	ә'dʒendә
IELTS_2601	agony	n. 极度痛苦	n. 极大的痛苦, 挣扎 / [医] 濒死苦闷; 剧痛	'ægәni
IELTS_23	aisle	n. 通道	n. 走廊, 侧廊, 过道 / [机] 走道	ail
IELTS_25	album	n. 集邮册；相片册	n. 粘贴簿, 唱片套 / [医] 白色物	'ælbәm
IELTS_3600	alight	adj. 燃烧的； v. 〔鸟或虫等〕飞落	vi. 落下, 偶然发现 / a. 点着的	ә'lait
IELTS_3929	alignment	n. 排成直线； 联盟	n. 队列, 结盟, 校正 / [计] 校准; 对齐; 对准	ә'lainmәnt
IELTS_903	allegiance	n. 忠诚	n. 忠贞, 效忠	ә'li:dʒәns
IELTS_3869	alley	n. 小巷； 胡同	n. 小路, 巷	'æli
IELTS_913	alphabetical	adj. 按字母表顺序的	a. 依字母顺序的, 字母的	.ælfә'betikәl
IELTS_5165	altruistic	adj. 无私的， 为他人着想的	a. 利他的, 无私心的	.æltru'istik
IELTS_919	amaze	v. 使惊奇	vt. 使吃惊	ә'meiz
IELTS_1718	ambiguity	n. 模棱两可；多义词句	n. 不明确, 含糊 / [计] 二义性; 多义性	.æmbi'gju:iti
IELTS_1719	ambition	n. 雄心，抱负	n. 野心, 志向	æm'biʃәn
IELTS_1720	ambitious	adj. 有抱负的	a. 有野心的, 抱负不凡的, 雄心勃勃的	æm'biʃәs
IELTS_1722	amend	v. 改进，修正	vt. 修改, 改善, 改良 / vi. 改过自新	ә'mend
IELTS_1724	amid	prep. 在当中	prep. 在其间, 在其中 / [经] 在...中	ә'mid
IELTS_1731	amuse	v. 使娱逗，逗…笑	vt. 消遣, 娱乐, 使发笑	ә'mju:z
IELTS_5196	anecdotal	adj. 轶话的， 轶闻趣事的	a. 轶事的, 爱谈奇闻轶事的, 多轶事的	,ænek'dәutl
IELTS_2606	annoy	v. 使烦恼，使生气	vt. 使恼怒, 骚扰	ә'nɒi
IELTS_2610	antagonism	n. 反对，不喜欢	n. 对立, 敌对, 敌意 / [化] 拮抗作用; 消效作用	æn'tægәnizm
IELTS_2613	anthology	n. 诗集	n. 选集, 诗选	æn'θɒlәdʒi
IELTS_4946	ape	n. 猿； v. 模仿	n. 无尾猿 / [计] 应用程序评价	eip
IELTS_2622	apologetic	adj. 表示歉意的	a. 道歉的, 急于认错的, 辩护的 / [法] 辩护的, 辩解的, 道歉的	ә.pɒlә'dʒetik
IELTS_33	applaud	v. 鼓掌欢迎；赞成	v. 拍手喝彩, 称赞, 赞同	ә'plɒ:d
IELTS_39	appreciable	adj. 可见的；明显的	a. 可感知的, 可评估的	ә'pri:ʃiәbl
IELTS_44	appropriate	adj. 合适的	a. 适当的 / [经] 适当的, 拨出, 占用	ә'prәupriәt
IELTS_4609	approve	v. 赞成； 批准， 同意	vt. 赞同, 核准, 为...提供证据 / vi. 赞许	ә'pru:v
IELTS_4060	arable	adj. 可耕作的； n. 耕地	a. 适于耕种的, 可耕的	'ærәbl
IELTS_922	arbitrary	adj. 任性的，专断的	a. 任意的, 武断的, 专治的, 霸道的	'ɑ:bitrәri
IELTS_923	arc	n. 弧	n. 弧, 弧形, 弓形, 弧光 / [化] 弧	ɑ:k
IELTS_930	arduous	adj. 艰巨的，艰苦的	a. 费力的, 努力的, 险峻的	'ɑ:djuәs
IELTS_931	arena	n. 竞技场，比赛场所	n. 角斗场, 舞台, 场地 / [医] 尿沉渣, 尿沙; 脑沙	ә'ri:nә
IELTS_4525	arousal	n. 唤起， 激起	n. 奋发, 激励	ә'rauzl
IELTS_936	array	n. 展示；一系列	n. 排列, 衣服, 大批, 军队 / vt. 布署, 打扮, 排列 / [计] 数组; 阵列	ә'rei
IELTS_539	as	prep. 与...形成对照	adv. 同样地, 例如 / prep. 做为, 当作 / conj. 当...之时, 以...的方式, 像...一样, 因为 / [计] 高级系统, 先进系统, 辅助存储器, 自治系统	æz
IELTS_1743	ashamed	adj. 羞愧的；害臊的	a. 惭愧的, 羞耻的	ә'ʃeimd
IELTS_1750	assess	v. 估值，评价	vt. 估定, 对...征税, 评定 / [经] 估计, 估价, 确定(税款罚款等)的金额	ә'ses
IELTS_2627	assorted	adj. 各式各样的	a. 各种各样的, 分类的	ә'sɒ:tid
IELTS_2632	astound	v. 使震惊	vt. 使惊骇, 使大惊	ә'staund
IELTS_2634	asylum	n. 避难所；疯人院；避难	n. 庇护, 收容所 / [医] 养育院	ә'sailәm
IELTS_2639	attain	v. 取得，得到	vt. 达到, 获得 / vi. 达到	ә'tein
IELTS_4138	attainable	adj. 可获得的， 可达到的， 可实现的	a. 可到达的, 可得到的	ә'teinәbl
