id	word	definition_cn	ecdict_translation	ecdict_phonetic
SAT_2366	accelerate	v. 使……加快；使……增速	v. 加速, 促进	әk'selәreit
SAT_640	acclivity	n. 向上的斜坡；[建] 上斜	n. 上坡	ә'kliviti
SAT_3466	accustomed	adj. 习惯的；通常的；独有的； v. 使习惯于（accustom的过去分词）	a. 惯常的, 习惯了的	ә'kʌstәmd
SAT_4032	acerbity	n. 酸，涩；刻薄	n. 涩, 酸, 尖刻 / [化] 涩度	ә'sә:biti
SAT_2590	advent	n. 到来；出现；基督降临；基督降临节	n. 来到, 来临	'ædvәnt
SAT_2682	aggressive	adj. 侵略性的；好斗的；有进取心的；有闯劲的	a. 侵略的, 挑畔的, 进取的 / [法] 侵略的, 爱挑衅的, 行为过火的	ә'gresiv
SAT_1755	ailment	n. 小病；不安	n. 病痛, 疾病 / [医] 疾病	'eilmәnt
SAT_906	album	n. 相簿；唱片集；集邮簿；签名纪念册	n. 粘贴簿, 唱片套 / [医] 白色物	'ælbәm
SAT_179	alight	v. 下来；飞落； adj. 烧着的；点亮着的	vi. 落下, 偶然发现 / a. 点着的	ә'lait
SAT_722	alimentary	adj. 滋养的；食物的	a. 饮食的, 供养的 / [化] 营养的	.æli'mentәri
SAT_4224	altercation	n. 争执	n. 争论, 争吵	.ɒ:ltә'keiʃәn
SAT_2283	ambidextrous	adj. 双手灵巧的；怀有二心的	a. 两手俱利的, 搞两面派的 / [医] 两手同利的	.æmbi'dekstrәs
SAT_1991	ambiguous	adj. 模糊不清的；引起歧义的	a. 不明确的, 模棱两可的 / [法] 意思含糊的, 模棱两可的, 暧昧的	æm'bigjuәs
SAT_4311	ambitious	adj. 野心勃勃的；有雄心的；热望的；炫耀的	a. 有野心的, 抱负不凡的, 雄心勃勃的	æm'biʃәs
SAT_3877	antemundane	n. 世界形成前的	a. 创世前的	.ænti'mʌndein
SAT_3213	antipodes	n. 地球上处于正相对应的两个地区，尤指（与欧洲形成对跖地的）澳大拉西亚	n. 地球上处于相对地置的地区	æn'tipәdi:z
SAT_2919	arbiter	n. [法] 仲裁者；裁决人	n. 仲裁人, 裁决者, 公断人 / [计] 判优程序	'ɑ:bitә
SAT_37	assertive	adj. 肯定的；独断的；坚定而自信的	a. 武断的, 过分自信的 / [法] 断言的	ә'sә:tiv
SAT_2704	bacchanalia	n. （古罗马的）酒神节；大酒宴	n. 狂饮的闹宴	,bækә'neiljә
SAT_2496	beatific	adj. 幸福的；祝福的；快乐的	a. 至福的, 赐福的, 极乐的	.bi:ә'tifik
SAT_4088	beguile	v. 欺骗；使着迷；轻松地消磨	vt. 诱骗	bi'gail
SAT_2978	benignity	n. 仁慈；善举	n. 善良, 温厚	bi'nigniti
SAT_874	bestrew	v. 布满；散布	vt. 撒满...表面, 使遍布	bi'stru:
SAT_1561	bisect	v. 平分；二等分	v. 分成两部份, 对分	bai'sekt
SAT_3895	blase	adj. 玩厌了的，厌烦于享乐的； n. (Blase)人名；(德)布拉泽；(法)布拉斯	a. 厌倦享乐的, 玩腻了的	'blɑ:zei
SAT_2772	brethren	n. <旧>兄弟们，同胞；〈旧〉同党，会友	n. 弟兄们, 教友们	'breðrәn
SAT_26	brigade	n. 旅；大部队；队列； v. 把…编成旅；把…编成队	n. 旅, 队 / [法] 团体, 队, 组	bri'geid
SAT_2698	buffoon	n. 丑角；滑稽剧演员	n. 小丑	bә'fu:n
SAT_1309	bulbous	adj. 球根的；球根状的；由球根生长的（等于bulbaceous）	a. 球茎的, 球茎状的, 由球茎生长的 / [医] 球状的, 球的	'bʌlbәs
SAT_3673	bureau	n. 局，处；衣柜；办公桌	n. 局, 办公处 / [经] 局, 司, 处	'bjuәrәu
SAT_4094	cacophony	n. 刺耳的音调；不和谐音	n. 不愉快的音调, 不协和音, 杂音	kæ'kɒfәni
SAT_3306	celebrated	adj. 著名的；有名望的； v. 庆祝（celebrate的过去式和过去分词）	a. 驰名的, 有名的	'selibreitid
SAT_62	censorship	n. 审查制度；审查机构	n. 检查制度 / [医] 督察, 监察	'sensәʃip
SAT_3853	chord	n. 弦；和弦；香水的基调	n. 弦, 和音 / [医] 索, 带	kɒ:d
SAT_448	chronological	adj. 按年代顺序排列的；依时间前后排列而记载的	a. 年代学的, 按时间顺序的, 按照年月顺序的 / [计] 编年的, 按年月日顺序的	, krɔnә'lɔdʒikәl
SAT_1061	chronometer	n. [天] 精密记时表；高度精确的钟表；航海经线仪	n. 天文钟, 航海用的精密时计, 精密的时钟 / [化] 精密记时计	krә'nɒmitә
SAT_105	churlish	adj. 没有礼貌的；脾气暴躁的	a. 粗野的	'tʃә:liʃ
SAT_4328	circumlocution	n. 婉转曲折的说法，累赘的陈述；遁辞	n. 迂回的说法	.sә:kәmlә'kju:ʃәn
SAT_3610	circumnavigate	v. 环航	vt. 环绕航行	.sә:kәm'nævigeit
SAT_4052	clothier	n. 衣庄；呢绒商	n. 布商, 衣商	'klәuðiә
SAT_3494	coax	v. 哄；哄诱；慢慢将…弄好	vt. 哄, 诱骗, 耐心地摆弄 / vi. 哄骗 / [计] 同轴电缆	kәuks
SAT_4286	cohesive	adj. 凝聚的；有结合力的；紧密结合的；有粘着力的	a. 黏合在一起的 / [医] 内聚的	kәu'hi:siv
SAT_4246	concupiscence	n. 强烈的邪欲	n. 色欲 / [医] 色欲	kәn'kju:pisәns
SAT_2494	condescend	v. 屈尊；俯就；（对某人）表现出优越感	vi. 谦逊, 屈就, 堕落	.kɒndi'send
SAT_2059	confession	n. 忏悔，告解；供认；表白	n. 承认, 坦白, 招供 / [法] 自白, 招供, 自认有罪	kәn'feʃәn
SAT_2970	consecutive	adj. 连贯的；连续不断的	a. 连续的, 联贯的 / [计] 连续的; 连接的	kәn'sekjutiv
SAT_3987	contemptible	adj. 可鄙的；卑劣的；可轻视的	a. 卑鄙的, 可轻蔑的, 不足挂齿的	kәn'temptibl
SAT_1217	discern	v. 识别；领悟，认识	v. 辨别, 看清楚, 了解	di'zә:n
SAT_400	discretionary	adj. 任意的；自由决定的	[计] 选择的	dis'kreʃәnәri
SAT_195	dissect	v. 切细；仔细分析	v. 解剖, 切开	di'sekt
SAT_550	dramatic	adj. 戏剧的；急剧的；引人注目的；激动人心的	a. 戏剧性的, 生动的	drә'mætik
SAT_2570	dumbfound	v. 使惊呆；使人惊愕失声	vt. 使...惊讶得发呆	dʌm'fajnd
SAT_1501	electrode	n. 顽皮雷弹	n. 电极 / [化] 电极; 焊条; 电焊条	i'lektrәud
