id	word	definition_cn	ecdict_translation	ecdict_phonetic
SENIOR_CORE_4770	Abigail	n. 阿比盖尔（女名）	n. 贴身使女	'æbigeil
SENIOR_CORE_5300	abseil	n. （登山运动员）绕绳下降，悬绳滑锁	n. (登山运动中的)沿绳滑下法	'ɑ:bzail
SENIOR_CORE_23	accelerate	v. 使……加快；使……增速	v. 加速, 促进	әk'selәreit
SENIOR_CORE_38	accustomed	adj. 习惯的；通常的；独有的； v. 使习惯于（accustom的过去分词）	a. 惯常的, 习惯了的	ә'kʌstәmd
SENIOR_CORE_40	achieve	v. 取得；获得；实现；成功	vt. 完成, 达到 / vi. 如愿以偿	ә'tʃi:v
SENIOR_CORE_6054	acupressure	n. 指压按摩（疗法）	[医] 针压法	'ækjj,preʃә(r)
SENIOR_CORE_4760	adjust to	n. 适应；调节	[计] 调整至	
SENIOR_CORE_103	aggressive	adj. 侵略性的；好斗的；有进取心的；有闯劲的	a. 侵略的, 挑畔的, 进取的 / [法] 侵略的, 爱挑衅的, 行为过火的	ә'gresiv
SENIOR_CORE_5373	agony	n. 极度的痛苦	n. 极大的痛苦, 挣扎 / [医] 濒死苦闷; 剧痛	'ægәni
SENIOR_CORE_4435	ahead of	n. 在……前面	在…之前	
SENIOR_CORE_5197	Alabama	n. 阿拉巴马州（美国的一个州）	n. 亚拉巴马州	.ælә'bæmә
SENIOR_CORE_4684	alarmed	adj. 担心的；害怕的	a. 受惊的；焦虑的；惊恐的	
SENIOR_CORE_121	album	n. 相簿；唱片集；集邮簿；签名纪念册	n. 粘贴簿, 唱片套 / [医] 白色物	'ælbәm
SENIOR_CORE_4671	all the best	n. （口语）（祝你）一切顺利	万事吉利;一路平安;一帆风顺(祝酒或送行时用语)	
SENIOR_CORE_6382	all-in-one	adj. 多功能的；几合一的	n. 一体化, 集成, 多功能女用紧身内衣; 全邦	ɔ:l in wʌn
SENIOR_CORE_152	ambiguous	adj. 模糊不清的；引起歧义的	a. 不明确的, 模棱两可的 / [法] 意思含糊的, 模棱两可的, 暧昧的	æm'bigjuәs
SENIOR_CORE_6503	analyser	n. 分析者，分析计	[机] 分析器, 检偏振器	'ænәlaizә
SENIOR_CORE_3944	analytical	adj. 头脑周密的	a. 分析的, 善于分析的, 解析的 / [机] 分析的	.ænә'litikl
SENIOR_CORE_166	and	conj. 和，与；就；而且；但是；然后； n. (And)人名；(土、瑞典)安德	conj. 和, 与 / [计] 与	ænd
SENIOR_CORE_4821	Angel Island	n. 天使岛	[地名] 安琪儿岛 ( 美 )	
SENIOR_CORE_4070	announcer	n. 广播员；告知者；报幕员	n. 节目报告员, 宣告者	ә'naunsә
SENIOR_CORE_4657	annoyed	adj. 颇为生气的	a. 恼怒的；烦闷的	
SENIOR_CORE_3885	anti-	n. [前缀]反；抗；阻	pref. 抗, 反 / [医] 对抗, 解, 抑制, 取消	'ænti
SENIOR_CORE_5049	anti-venom	n. 抗毒	n. 抗蛇毒素	
SENIOR_CORE_4819	apparently	adv. 据说	adv. 表面上, 清楚地, 显然地	ә'pærәntli
SENIOR_CORE_4500	appeal to	n. （对某人）有吸引力；（使某人）感兴趣	[法] 诉诸...	
SENIOR_CORE_5625	appropriately	adv. 适当地	adv. 适当的, 恰如其分的, 恰当的, 合适的	
SENIOR_CORE_221	are	v. 是（be的第二人称单复数现在式）； n. 公亩	be的现在时复数或第二人称单数	ɑ:
SENIOR_CORE_4579	Armstrong	n. 阿姆斯特朗（姓）	[计] 公理	'ɑ:mstrɔŋ
SENIOR_CORE_232	arrangement	n. 布置；整理；准备	n. 排列, 整齐, 安排 / [计] 排列	ә'reindʒmәnt
SENIOR_CORE_6200	articulate	v. 清晰地表达	a. 发音清晰的, 口才好的 / vt. 明白地说, 以关节连接, 使成为系统的整体	ɑ:'tikjulit
SENIOR_CORE_5651	as a whole	n. 总的来说	总体上	
SENIOR_CORE_4661	as well as	n. 和；也	也, 又	
SENIOR_CORE_4261	astonishing	adj. 令人感到惊讶的	a. 令人惊讶的	ә'stɒniʃiŋ
SENIOR_CORE_5933	astonishment	n. 惊讶	n. 惊异, 惊愕, 使人惊异的事物	ә'stɒniʃmәnt
SENIOR_CORE_263	at	prep. 在（表示存在或出现的地点、场所、位置、空间）；以（某种价格、速度等）；向；达；因为；朝；忙于； n. 阿特（老挝货币基本单位att）；[化]砹（极不稳定放射性元素）； abbr. 密封的（airtight）；气温（air temperature）	prep. 在, 向, 对 / [计] 地址转换器, 异常传输, 自动订票	æt
SENIOR_CORE_5762	at all costs	n. 不管多大代价，无论如何	不惜任何代价	
SENIOR_CORE_4563	at risk	n. 处境危险；遭受危险	在危险中,在危急时	
SENIOR_CORE_3904	at war	n. 处于交战状态	在交战状态中	
SENIOR_CORE_5189	Atticus	n. 阿提斯库	上鼓室	
SENIOR_CORE_4857	aurochs	n. 原牛（古代欧洲野牛，已灭绝）	n. 现代欧洲野牛	'ɒ:rɒks
SENIOR_CORE_6311	automated	adj. 自动的	a. 自动化的；机械化的	
SENIOR_CORE_4947	axe	n. 斧；斧子	n. 斧, 斧头 / vt. 削减(人员、经费、计划、机构等)	
SENIOR_CORE_5571	back out	n. 决定不履行(允诺的事)	停止不干, 食言 / [法] 收回, 不再担保, 不承认	
SENIOR_CORE_5643	backwards	adv. 由后向前地	adv. 向后	'bækwәdz
SENIOR_CORE_4546	bad-tempered	adj. 脾气暴躁的；易怒的	a. 脾气不好的	
SENIOR_CORE_4076	balanced diet	n. 平衡膳食	[医] 均衡饮食	
SENIOR_CORE_354	be	v. 是； 有，存在； 做，成为； 发生； n. (Be)人名；(缅)拜；(日)部(姓)；(朝)培；(中非)贝	v. 是, 表示, 在 / [计] 后端, 总线允许	bi:
SENIOR_CORE_4695	be bound to	n. 一定做……	肯定,必然,注定;保证做某事,有义务做某事	
SENIOR_CORE_4313	be famous for	n. 以……而闻名	因…而出名,以…着称	
SENIOR_CORE_4520	be made up of	n. 由……构成	由...所组成	
SENIOR_CORE_5493	be up to	n. 做，从事于	胜任,达到,由…负责	
SENIOR_CORE_357	bean	n. 豆；嘴峰；毫无价值的东西； v. 击…的头部	n. 豆子 / [化] 油嘴; 豆	bi:n
SENIOR_CORE_5468	bean paste	n. 豆馅	豆酱	
SENIOR_CORE_4998	bearing	n. 方位	n. 举止, 轴承, 忍受, 关系, 意义, 方向, 生育 / [化] 轴承	'bєәriŋ
SENIOR_CORE_6318	beep	n. 哔哔声	n. 短而尖的声音, 嘟 / v. 嘟嘟响	bi:p
SENIOR_CORE_386	believe	v. 信任；料想；笃信宗教	v. 相信	bi'li:v
SENIOR_CORE_387	bell	n. 铃，钟；钟声，铃声；钟状物； v. 装钟于，系铃于	n. 铃, 钟 / [计] 响铃命令	bel
SENIOR_CORE_392	bench	n. 长凳；工作台；替补队员； v. 给…以席位；为…设置条凳	n. 长椅子 / [机] 台	bentʃ
SENIOR_CORE_6169	beset	v. 困扰	vt. 围绕, 使苦恼, 镶嵌	bi'set
